Department,Date,Active Cases
LIMA,2020-03-06,1
AREQUIPA,2020-03-07,1
LIMA,2020-03-07,4
LIMA,2020-03-08,2
HUANUCO,2020-03-09,2
LIMA,2020-03-09,1
LIMA,2020-03-10,1
AREQUIPA,2020-03-11,1
ICA,2020-03-11,1
LIMA,2020-03-11,6
LIMA,2020-03-12,8
CUSCO,2020-03-13,1
LIMA,2020-03-13,9
CALLAO,2020-03-14,1
LAMBAYEQUE,2020-03-14,1
LIMA,2020-03-14,15
PIURA,2020-03-14,2
ANCASH,2020-03-15,1
CALLAO,2020-03-15,2
LA LIBERTAD,2020-03-15,1
LAMBAYEQUE,2020-03-15,2
LIMA,2020-03-15,22
CALLAO,2020-03-16,1
LAMBAYEQUE,2020-03-16,3
LIMA,2020-03-16,15
LORETO,2020-03-16,1
CALLAO,2020-03-17,1
LA LIBERTAD,2020-03-17,1
LIMA,2020-03-17,16
LORETO,2020-03-17,9
ANCASH,2020-03-18,1
CUSCO,2020-03-18,3
LIMA,2020-03-18,50
LORETO,2020-03-18,1
MADRE DE DIOS,2020-03-18,1
ANCASH,2020-03-19,2
AREQUIPA,2020-03-19,1
JUNIN,2020-03-19,2
LIMA,2020-03-19,53
LIMA REGION,2020-03-19,3
LORETO,2020-03-19,1
AREQUIPA,2020-03-20,1
CALLAO,2020-03-20,1
JUNIN,2020-03-20,7
LA LIBERTAD,2020-03-20,2
LAMBAYEQUE,2020-03-20,2
LIMA,2020-03-20,26
LORETO,2020-03-20,2
PIURA,2020-03-20,15
LIMA,2020-03-21,27
LORETO,2020-03-21,2
PIURA,2020-03-21,1
AREQUIPA,2020-03-22,3
CALLAO,2020-03-22,1
CUSCO,2020-03-22,2
ICA,2020-03-22,1
LIMA,2020-03-22,32
AREQUIPA,2020-03-23,2
CALLAO,2020-03-23,1
LA LIBERTAD,2020-03-23,1
LIMA,2020-03-23,26
TUMBES,2020-03-23,3
ANCASH,2020-03-24,1
AREQUIPA,2020-03-24,1
CAJAMARCA,2020-03-24,1
CALLAO,2020-03-24,2
CUSCO,2020-03-24,4
JUNIN,2020-03-24,1
LA LIBERTAD,2020-03-24,1
LAMBAYEQUE,2020-03-24,4
LIMA,2020-03-24,47
LORETO,2020-03-24,2
ANCASH,2020-03-25,1
AREQUIPA,2020-03-25,5
CALLAO,2020-03-25,5
ICA,2020-03-25,1
LA LIBERTAD,2020-03-25,3
LIMA,2020-03-25,83
LIMA REGION,2020-03-25,1
PIURA,2020-03-25,1
CALLAO,2020-03-26,2
HUANUCO,2020-03-26,2
JUNIN,2020-03-26,1
LAMBAYEQUE,2020-03-26,1
LIMA,2020-03-26,38
LORETO,2020-03-26,5
PASCO,2020-03-26,1
TUMBES,2020-03-26,2
CALLAO,2020-03-27,1
CUSCO,2020-03-27,1
ICA,2020-03-27,1
LA LIBERTAD,2020-03-27,1
LAMBAYEQUE,2020-03-27,2
LIMA,2020-03-27,22
LORETO,2020-03-27,4
SAN MARTIN,2020-03-27,1
TUMBES,2020-03-27,1
AYACUCHO,2020-03-28,1
CALLAO,2020-03-28,5
CUSCO,2020-03-28,6
JUNIN,2020-03-28,1
LA LIBERTAD,2020-03-28,2
LAMBAYEQUE,2020-03-28,7
LIMA,2020-03-28,82
LIMA REGION,2020-03-28,1
LORETO,2020-03-28,25
PIURA,2020-03-28,1
SAN MARTIN,2020-03-28,2
TACNA,2020-03-28,1
TUMBES,2020-03-28,2
ANCASH,2020-03-29,5
AREQUIPA,2020-03-29,6
CALLAO,2020-03-29,10
CUSCO,2020-03-29,8
ICA,2020-03-29,1
LA LIBERTAD,2020-03-29,2
LAMBAYEQUE,2020-03-29,1
LIMA,2020-03-29,107
LORETO,2020-03-29,1
SAN MARTIN,2020-03-29,1
TUMBES,2020-03-29,1
AREQUIPA,2020-03-30,5
CALLAO,2020-03-30,1
CUSCO,2020-03-30,1
HUANUCO,2020-03-30,2
JUNIN,2020-03-30,4
LA LIBERTAD,2020-03-30,4
LAMBAYEQUE,2020-03-30,8
LIMA,2020-03-30,90
LIMA REGION,2020-03-30,6
LORETO,2020-03-30,5
PUNO,2020-03-30,1
SAN MARTIN,2020-03-30,1
TUMBES,2020-03-30,2
ANCASH,2020-03-31,2
AREQUIPA,2020-03-31,4
CALLAO,2020-03-31,12
CUSCO,2020-03-31,8
HUANCAVELICA,2020-03-31,1
ICA,2020-03-31,3
LA LIBERTAD,2020-03-31,11
LAMBAYEQUE,2020-03-31,4
LIMA,2020-03-31,190
LIMA REGION,2020-03-31,2
LORETO,2020-03-31,4
PIURA,2020-03-31,5
TACNA,2020-03-31,1
TUMBES,2020-03-31,3
APURIMAC,2020-04-01,1
CAJAMARCA,2020-04-01,1
CALLAO,2020-04-01,22
CUSCO,2020-04-01,4
JUNIN,2020-04-01,2
LA LIBERTAD,2020-04-01,7
LAMBAYEQUE,2020-04-01,1
LIMA,2020-04-01,58
LIMA REGION,2020-04-01,3
LORETO,2020-04-01,11
MADRE DE DIOS,2020-04-01,1
PIURA,2020-04-01,5
TUMBES,2020-04-01,2
ANCASH,2020-04-02,2
AREQUIPA,2020-04-02,7
CAJAMARCA,2020-04-02,1
CALLAO,2020-04-02,6
CUSCO,2020-04-02,7
LA LIBERTAD,2020-04-02,7
LAMBAYEQUE,2020-04-02,5
LIMA,2020-04-02,168
LIMA REGION,2020-04-02,2
LORETO,2020-04-02,9
PIURA,2020-04-02,1
TUMBES,2020-04-02,6
UCAYALI,2020-04-02,1
CAJAMARCA,2020-04-03,2
CALLAO,2020-04-03,14
CUSCO,2020-04-03,4
HUANCAVELICA,2020-04-03,1
ICA,2020-04-03,4
JUNIN,2020-04-03,8
LA LIBERTAD,2020-04-03,5
LAMBAYEQUE,2020-04-03,31
LIMA,2020-04-03,170
LIMA REGION,2020-04-03,16
LORETO,2020-04-03,25
